epochs,batch_size,hidden_layers,hidden_neuron,lr,dropout,optimizer,losses,activation,last_activation,loss,acc,precision,recall,f1score,val_loss,val_acc,val_precision,val_recall,val_f1score
10,256,0,16,0.001,0.1,<class 'keras.optimizers.SGD'>,<function categorical_crossentropy at 0x7fdbbb4b2950>,<function elu at 0x7fdbbb464840>,softmax,1.9518682334734045,0.13875679347826086,0.0,0.0,0.0,1.9578315019607544,0.1015625,0.0,0.0,0.0
15,32,1,128,0.01,0.2,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x7fdbbb4b2950>,<function relu at 0x7fdbbb464a60>,softmax,0.25611957678581304,0.9059157754010695,0.950153804399113,0.88201871657754,0.914267952748161,4.645310084025065,0.24166666666666667,0.2648940612872442,0.21666666666666667,0.23802064607540765
1,32,2,128,0.001,0.2,<class 'keras.optimizers.SGD'>,<function categorical_crossentropy at 0x7fdbbb4b2950>,<function elu at 0x7fdbbb464840>,softmax,1.9565465800902422,0.14856283422459893,0.0,0.0,0.0,1.963208754857381,0.11458333333333333,0.0,0.0,0.0
5,32,2,64,0.005,0,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x7fdbbb4b2950>,<function elu at 0x7fdbbb464840>,softmax,1.4016795974364256,0.4672459893048128,0.6755613985864873,0.2620320855614973,0.373853448081144,2.0320337851842245,0.26875,0.3223170672853788,0.11875,0.1724297434091568
10,64,1,64,0.0002,0.1,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x7fdbbb4b2950>,<function relu at 0x7fdbbb464a60>,softmax,1.7284364738771993,0.40406586021505375,0.03225806067066808,0.0005040322580645161,0.0009925557120192435,1.801791054861886,0.29017857142857145,0.0,0.0,0.0
5,32,1,128,0.0005,0.3,<class 'keras.optimizers.SGD'>,<function categorical_crossentropy at 0x7fdbbb4b2950>,<function relu at 0x7fdbbb464a60>,softmax,1.9533437222720467,0.14655748663101603,0.0,0.0,0.0,1.9482564449310302,0.13333333333333333,0.0,0.0,0.0
10,16,0,32,0.005,0.4,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x7fdbbb4b2950>,<function relu at 0x7fdbbb464a60>,softmax,1.2740648234685261,0.5071666666666667,0.7962052931785584,0.24166666666666667,0.36139974315961204,2.009532993839633,0.2782258064516129,0.3503840306112843,0.11088709677419355,0.16471176306086202
20,256,1,64,0.002,0.2,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x7fdbbb4b2950>,<function elu at 0x7fdbbb464840>,softmax,1.236898043881292,0.5207201086956522,0.7454966747242472,0.32065217391304346,0.44803306460380554,2.1325669288635254,0.2734375,0.3214285671710968,0.140625,0.19565212726593018
15,16,2,32,0.0005,0.1,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7fdbbb4b2950>,<function elu at 0x7fdbbb464840>,softmax,1.2728839670817058,0.5026666666666667,0.7149353603124619,0.304,0.41946307599544524,2.1658682784726544,0.26411290322580644,0.3291509610510642,0.13911290322580644,0.1899898244488624
1,64,0,32,0.0002,0.4,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x7fdbbb4b2950>,<function relu at 0x7fdbbb464a60>,softmax,1.9494525206986295,0.1478494623655914,0.0,0.0,0.0,1.9422239065170288,0.14285714285714285,0.0,0.0,0.0
